,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-03-04/2002-03-10,77,2002-03-04 00:00:00.000000000,2002-03-10 23:59:59.999999999,841,19,0,382,12,0,80,1,0
2002-03-11/2002-03-17,78,2002-03-11 00:00:00.000000000,2002-03-17 23:59:59.999999999,855,14,0,390,8,0,80,0,0
2002-03-18/2002-03-24,79,2002-03-18 00:00:00.000000000,2002-03-24 23:59:59.999999999,881,26,0,401,11,0,83,3,0
2002-03-25/2002-03-31,80,2002-03-25 00:00:00.000000000,2002-03-31 23:59:59.999999999,906,25,0,410,9,0,85,2,0
2002-04-01/2002-04-07,81,2002-04-01 00:00:00.000000000,2002-04-07 23:59:59.999999999,919,13,0,417,7,0,85,0,0
2002-04-08/2002-04-14,82,2002-04-08 00:00:00.000000000,2002-04-14 23:59:59.999999999,942,23,0,425,8,0,87,2,0
2002-04-15/2002-04-21,83,2002-04-15 00:00:00.000000000,2002-04-21 23:59:59.999999999,963,21,0,433,8,0,89,2,0
2002-04-22/2002-04-28,84,2002-04-22 00:00:00.000000000,2002-04-28 23:59:59.999999999,985,22,0,441,8,0,92,3,0
2002-04-29/2002-05-05,85,2002-04-29 00:00:00.000000000,2002-05-05 23:59:59.999999999,1007,22,0,453,12,0,94,2,0
2002-05-06/2002-05-12,86,2002-05-06 00:00:00.000000000,2002-05-12 23:59:59.999999999,1032,25,0,462,9,0,97,3,0
2002-05-13/2002-05-19,87,2002-05-13 00:00:00.000000000,2002-05-19 23:59:59.999999999,1063,31,0,478,16,0,99,2,0
2002-05-20/2002-05-26,88,2002-05-20 00:00:00.000000000,2002-05-26 23:59:59.999999999,1089,26,0,494,16,0,101,2,0
2002-05-27/2002-06-02,89,2002-05-27 00:00:00.000000000,2002-06-02 23:59:59.999999999,1101,12,0,498,4,0,101,0,0
2002-06-03/2002-06-09,90,2002-06-03 00:00:00.000000000,2002-06-09 23:59:59.999999999,1128,27,0,511,13,0,105,4,0
2002-06-10/2002-06-16,91,2002-06-10 00:00:00.000000000,2002-06-16 23:59:59.999999999,1150,22,0,516,5,0,110,5,0
2002-06-17/2002-06-23,92,2002-06-17 00:00:00.000000000,2002-06-23 23:59:59.999999999,1172,22,0,530,14,0,112,2,0
2002-06-24/2002-06-30,93,2002-06-24 00:00:00.000000000,2002-06-30 23:59:59.999999999,1189,17,0,537,7,0,114,2,0
2002-07-01/2002-07-07,94,2002-07-01 00:00:00.000000000,2002-07-07 23:59:59.999999999,1214,25,0,545,8,0,114,0,0
2002-07-08/2002-07-14,95,2002-07-08 00:00:00.000000000,2002-07-14 23:59:59.999999999,1250,36,0,568,23,0,116,2,0
2002-07-15/2002-07-21,96,2002-07-15 00:00:00.000000000,2002-07-21 23:59:59.999999999,1276,26,0,578,10,0,122,6,0
