,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2004-09-27/2004-10-03,97,2004-09-27 00:00:00.000000000,2004-10-03 23:59:59.999999999,151,5,1,91,4,1,0,0,0
2004-10-04/2004-10-10,98,2004-10-04 00:00:00.000000000,2004-10-10 23:59:59.999999999,153,4,2,91,1,1,0,0,0
2004-10-11/2004-10-17,99,2004-10-11 00:00:00.000000000,2004-10-17 23:59:59.999999999,153,2,2,90,0,1,0,0,0
2004-10-18/2004-10-24,100,2004-10-18 00:00:00.000000000,2004-10-24 23:59:59.999999999,155,3,1,91,2,1,0,0,0
2004-10-25/2004-10-31,101,2004-10-25 00:00:00.000000000,2004-10-31 23:59:59.999999999,158,6,3,93,2,0,0,0,0
2004-11-01/2004-11-07,102,2004-11-01 00:00:00.000000000,2004-11-07 23:59:59.999999999,158,3,3,94,2,1,0,0,0
2004-11-08/2004-11-14,103,2004-11-08 00:00:00.000000000,2004-11-14 23:59:59.999999999,159,2,1,95,1,0,0,0,0
2004-11-15/2004-11-21,104,2004-11-15 00:00:00.000000000,2004-11-21 23:59:59.999999999,159,3,3,96,2,1,0,0,0
2004-11-22/2004-11-28,105,2004-11-22 00:00:00.000000000,2004-11-28 23:59:59.999999999,158,1,2,95,0,1,0,0,0
2004-11-29/2004-12-05,106,2004-11-29 00:00:00.000000000,2004-12-05 23:59:59.999999999,141,5,22,82,4,17,0,0,0
2004-12-06/2004-12-12,107,2004-12-06 00:00:00.000000000,2004-12-12 23:59:59.999999999,131,1,11,77,1,6,0,0,0
2004-12-13/2004-12-19,108,2004-12-13 00:00:00.000000000,2004-12-19 23:59:59.999999999,130,1,2,76,1,2,0,0,0
2004-12-20/2004-12-26,109,2004-12-20 00:00:00.000000000,2004-12-26 23:59:59.999999999,133,5,2,78,2,0,0,0,0
2004-12-27/2005-01-02,110,2004-12-27 00:00:00.000000000,2005-01-02 23:59:59.999999999,137,5,1,80,3,1,0,0,0
2005-01-03/2005-01-09,111,2005-01-03 00:00:00.000000000,2005-01-09 23:59:59.999999999,139,3,1,79,0,1,0,0,0
2005-01-10/2005-01-16,112,2005-01-10 00:00:00.000000000,2005-01-16 23:59:59.999999999,139,1,1,79,0,0,0,0,0
2005-01-17/2005-01-23,113,2005-01-17 00:00:00.000000000,2005-01-23 23:59:59.999999999,138,2,3,80,2,1,0,0,0
2005-01-24/2005-01-30,114,2005-01-24 00:00:00.000000000,2005-01-30 23:59:59.999999999,143,6,1,82,3,1,0,0,0
2005-01-31/2005-02-06,115,2005-01-31 00:00:00.000000000,2005-02-06 23:59:59.999999999,144,5,4,81,2,3,0,0,0
2005-02-07/2005-02-13,116,2005-02-07 00:00:00.000000000,2005-02-13 23:59:59.999999999,148,4,0,84,3,0,0,0,0
2005-02-14/2005-02-20,117,2005-02-14 00:00:00.000000000,2005-02-20 23:59:59.999999999,149,1,0,84,0,0,0,0,0
2005-02-21/2005-02-27,118,2005-02-21 00:00:00.000000000,2005-02-27 23:59:59.999999999,151,3,1,86,2,0,0,0,0
