,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2006-12-11/2006-12-17,100,2006-12-11 00:00:00.000000000,2006-12-17 23:59:59.999999999,1883,131,72,1224,105,48,257,12,6
2006-12-18/2006-12-24,101,2006-12-18 00:00:00.000000000,2006-12-24 23:59:59.999999999,1863,81,101,1207,59,76,254,8,11
2006-12-25/2006-12-31,102,2006-12-25 00:00:00.000000000,2006-12-31 23:59:59.999999999,1844,34,53,1198,25,34,252,2,4
2007-01-01/2007-01-07,103,2007-01-01 00:00:00.000000000,2007-01-07 23:59:59.999999999,1881,52,15,1224,37,11,257,8,3
2007-01-08/2007-01-14,104,2007-01-08 00:00:00.000000000,2007-01-14 23:59:59.999999999,1910,66,37,1242,48,30,259,6,4
2007-01-15/2007-01-21,105,2007-01-15 00:00:00.000000000,2007-01-21 23:59:59.999999999,1952,73,31,1267,45,20,266,10,3
2007-01-22/2007-01-28,106,2007-01-22 00:00:00.000000000,2007-01-28 23:59:59.999999999,1966,73,59,1282,50,35,264,5,7
2007-01-29/2007-02-04,107,2007-01-29 00:00:00.000000000,2007-02-04 23:59:59.999999999,1950,105,121,1275,71,78,258,16,22
2007-02-05/2007-02-11,108,2007-02-05 00:00:00.000000000,2007-02-11 23:59:59.999999999,1907,94,137,1239,62,98,252,9,15
2007-02-12/2007-02-18,109,2007-02-12 00:00:00.000000000,2007-02-18 23:59:59.999999999,1936,36,7,1263,29,5,252,0,0
2007-02-19/2007-02-25,110,2007-02-19 00:00:00.000000000,2007-02-25 23:59:59.999999999,1970,40,6,1281,23,5,258,7,1
2007-02-26/2007-03-04,111,2007-02-26 00:00:00.000000000,2007-03-04 23:59:59.999999999,1996,81,55,1294,46,33,268,15,5
2007-03-05/2007-03-11,112,2007-03-05 00:00:00.000000000,2007-03-11 23:59:59.999999999,2029,81,48,1324,60,30,275,8,1
2007-03-12/2007-03-18,113,2007-03-12 00:00:00.000000000,2007-03-18 23:59:59.999999999,2053,96,72,1340,61,45,272,6,9
2007-03-19/2007-03-25,114,2007-03-19 00:00:00.000000000,2007-03-25 23:59:59.999999999,2074,93,72,1347,63,56,278,10,4
2007-03-26/2007-04-01,115,2007-03-26 00:00:00.000000000,2007-04-01 23:59:59.999999999,2071,124,127,1343,83,87,281,17,14
2007-04-02/2007-04-08,116,2007-04-02 00:00:00.000000000,2007-04-08 23:59:59.999999999,2148,154,77,1402,112,53,294,22,9
2007-04-09/2007-04-15,117,2007-04-09 00:00:00.000000000,2007-04-15 23:59:59.999999999,2196,125,77,1428,82,56,303,15,6
2007-04-16/2007-04-22,118,2007-04-16 00:00:00.000000000,2007-04-22 23:59:59.999999999,2218,128,106,1441,95,82,306,13,10
2007-04-23/2007-04-29,119,2007-04-23 00:00:00.000000000,2007-04-29 23:59:59.999999999,2213,159,164,1444,115,112,299,14,21
2007-04-30/2007-05-06,120,2007-04-30 00:00:00.000000000,2007-05-06 23:59:59.999999999,2234,35,14,1457,24,11,301,4,2
2007-05-07/2007-05-13,121,2007-05-07 00:00:00.000000000,2007-05-13 23:59:59.999999999,2220,85,99,1440,60,77,303,11,9
2007-05-14/2007-05-20,122,2007-05-14 00:00:00.000000000,2007-05-20 23:59:59.999999999,2236,139,123,1461,95,74,304,19,18
2007-05-21/2007-05-27,123,2007-05-21 00:00:00.000000000,2007-05-27 23:59:59.999999999,2285,162,113,1490,119,90,317,19,6
2007-05-28/2007-06-03,124,2007-05-28 00:00:00.000000000,2007-06-03 23:59:59.999999999,2380,254,159,1534,160,116,336,36,17
2007-06-04/2007-06-10,125,2007-06-04 00:00:00.000000000,2007-06-10 23:59:59.999999999,2424,156,112,1561,104,77,346,29,19
2007-06-11/2007-06-17,126,2007-06-11 00:00:00.000000000,2007-06-17 23:59:59.999999999,2466,215,173,1601,155,115,344,21,23
2007-06-18/2007-06-24,127,2007-06-18 00:00:00.000000000,2007-06-24 23:59:59.999999999,2490,155,131,1609,97,89,354,27,17
2007-06-25/2007-07-01,128,2007-06-25 00:00:00.000000000,2007-07-01 23:59:59.999999999,2524,80,46,1636,63,36,353,4,5
2007-07-02/2007-07-08,129,2007-07-02 00:00:00.000000000,2007-07-08 23:59:59.999999999,2506,71,89,1629,51,58,349,8,12
2007-07-09/2007-07-15,130,2007-07-09 00:00:00.000000000,2007-07-15 23:59:59.999999999,2491,72,87,1622,57,64,346,4,7
2007-07-16/2007-07-22,131,2007-07-16 00:00:00.000000000,2007-07-22 23:59:59.999999999,2498,80,73,1624,56,54,347,5,4
2007-07-23/2007-07-29,132,2007-07-23 00:00:00.000000000,2007-07-29 23:59:59.999999999,2498,84,84,1618,52,58,354,19,12
2007-07-30/2007-08-05,133,2007-07-30 00:00:00.000000000,2007-08-05 23:59:59.999999999,2497,80,81,1620,50,48,353,12,13
2007-08-06/2007-08-12,134,2007-08-06 00:00:00.000000000,2007-08-12 23:59:59.999999999,2503,80,74,1628,55,47,354,13,12
2007-08-13/2007-08-19,135,2007-08-13 00:00:00.000000000,2007-08-19 23:59:59.999999999,2542,120,81,1659,90,59,360,14,8
2007-08-20/2007-08-26,136,2007-08-20 00:00:00.000000000,2007-08-26 23:59:59.999999999,2536,107,113,1654,77,82,365,14,9
2007-08-27/2007-09-02,137,2007-08-27 00:00:00.000000000,2007-09-02 23:59:59.999999999,2540,102,98,1654,74,74,362,8,11
